text,label
"Breaking: New vaccine approved by WHO today!",real
"Alien spacecraft spotted over London!",fake
"Government releases new policy on education reform",real
"Study finds that chocolate cures all diseases",fake
"Local sports team wins championship after 20 years",real
"Celebrity spotted flying without wings",fake
"Stock markets hit record high this week",real
"Scientists confirm teleportation possible next year",fake
"New smartphone model breaks all sales records",real
"Time traveler claims to have evidence of future",fake
